"Respondent ID",Timestamp,"The resource speakers were knowledgeable and delivered the topics effectively.","The venue was fit for the activity.","The schedule of the program/activity was favorable to the participants and speakers.","The event met my expectations.","The activities were engaging and relevant.","I would recommend this event to others. Because it is very nice"
2017-01384,"2024-10-15 08:00:11",3,3,3,3,3,4
2017-01385,"2024-10-15 08:05:23",4,3,4,4,4,4
2017-01386,"2024-10-15 08:10:45",3,4,3,3,4,4
2017-01387,"2024-10-15 08:15:32",4,4,4,4,3,4
2017-01388,"2024-10-15 08:20:18",3,3,3,4,4,3
2017-01389,"2024-10-15 08:25:55",4,4,3,3,4,4
2017-01390,"2024-10-15 08:30:42",3,4,4,4,3,4
2017-01391,"2024-10-15 08:35:27",4,3,3,3,4,4
2017-01392,"2024-10-15 08:40:13",3,4,4,4,3,3
2017-01393,"2024-10-15 08:45:59",4,3,3,3,4,4
101,"2024-10-15 08:50:24",3,3,4,4,3,4
102,"2024-10-15 08:55:37",4,4,3,3,4,3
103,"2024-10-15 09:00:15",3,3,4,4,3,4
104,"2024-10-15 09:05:48",4,4,3,3,4,4
105,"2024-10-15 09:10:33",3,3,3,4,3,3
2017-01394,"2024-10-15 09:15:22",4,4,4,3,4,4
2017-01395,"2024-10-15 09:20:14",3,3,3,4,3,4
2017-01396,"2024-10-15 09:25:59",4,4,3,3,4,3
2017-01397,"2024-10-15 09:30:45",3,3,4,4,3,4
2017-01398,"2024-10-15 09:35:31",4,3,3,3,4,4
106,"2024-10-15 09:40:18",3,4,4,4,3,3
107,"2024-10-15 09:45:52",4,3,3,3,4,4
108,"2024-10-15 09:50:27",3,4,4,4,3,4
109,"2024-10-15 09:55:13",4,3,3,3,4,3
110,"2024-10-15 10:00:45",3,4,4,4,3,4
2017-01399,"2024-10-15 10:05:32",4,3,3,3,4,4
2017-01400,"2024-10-15 10:10:19",3,4,4,4,3,3
2017-01401,"2024-10-15 10:15:55",4,3,3,3,4,4
2017-01402,"2024-10-15 10:20:42",3,4,4,4,3,4
2017-01403,"2024-10-15 10:25:28",4,3,3,3,4,3
111,"2024-10-15 10:30:15",3,4,4,4,3,4
112,"2024-10-15 10:35:51",4,3,3,3,4,4
113,"2024-10-15 10:40:37",3,4,4,4,3,3
114,"2024-10-15 10:45:24",4,3,3,3,4,4
115,"2024-10-15 10:50:11",3,4,4,4,3,4
2017-01404,"2024-10-15 10:55:58",4,3,3,3,4,3
2017-01405,"2024-10-15 11:00:45",3,4,4,4,3,4
2017-01406,"2024-10-15 11:05:32",4,3,3,3,4,4
2017-01407,"2024-10-15 11:10:19",3,4,4,4,3,3
2017-01408,"2024-10-15 11:15:06",4,3,3,3,4,4
116,"2024-10-15 11:20:53",3,4,4,4,3,4
117,"2024-10-15 11:25:40",4,3,3,3,4,3
118,"2024-10-15 11:30:27",3,4,4,4,3,4
119,"2024-10-15 11:35:14",4,3,3,3,4,4
120,"2024-10-15 11:40:01",3,4,4,4,3,3
2017-01409,"2024-10-15 11:45:48",4,3,3,3,4,4
2017-01410,"2024-10-15 11:50:35",3,4,4,4,3,4
2017-01411,"2024-10-15 11:55:22",4,3,3,3,4,3
2017-01412,"2024-10-15 12:00:09",3,4,4,4,3,4
2017-01413,"2024-10-15 12:05:56",4,3,3,3,4,4
121,"2024-10-15 12:10:43",3,4,4,4,3,3
122,"2024-10-15 12:15:30",4,3,3,3,4,4
123,"2024-10-15 12:20:17",3,4,4,4,3,4
124,"2024-10-15 12:25:04",4,3,3,3,4,3
125,"2024-10-15 12:30:51",3,4,4,4,3,4
2017-01414,"2024-10-15 12:35:38",4,3,3,3,4,4
2017-01415,"2024-10-15 12:40:25",3,4,4,4,3,3
2017-01416,"2024-10-15 12:45:12",4,3,3,3,4,4
2017-01417,"2024-10-15 12:50:59",3,4,4,4,3,4
2017-01418,"2024-10-15 12:55:46",4,3,3,3,4,3
126,"2024-10-15 13:00:33",3,4,4,4,3,4
127,"2024-10-15 13:05:20",4,3,3,3,4,4
128,"2024-10-15 13:10:07",3,4,4,4,3,3
129,"2024-10-15 13:15:54",4,3,3,3,4,4
130,"2024-10-15 13:20:41",3,4,4,4,3,4
2017-01419,"2024-10-15 13:25:28",4,3,3,3,4,3
2017-01420,"2024-10-15 13:30:15",3,4,4,4,3,4
2017-01421,"2024-10-15 13:35:02",4,3,3,3,4,4
2017-01422,"2024-10-15 13:40:49",3,4,4,4,3,3
2017-01423,"2024-10-15 13:45:36",4,3,3,3,4,4
131,"2024-10-15 13:50:23",3,4,4,4,3,4
132,"2024-10-15 13:55:10",4,3,3,3,4,3
133,"2024-10-15 14:00:57",3,4,4,4,3,4
134,"2024-10-15 14:05:44",4,3,3,3,4,4
135,"2024-10-15 14:10:31",3,4,4,4,3,3
2017-01424,"2024-10-15 14:15:18",4,3,3,3,4,4
2017-01425,"2024-10-15 14:20:05",3,4,4,4,3,4
2017-01426,"2024-10-15 14:25:52",4,3,3,3,4,3
2017-01427,"2024-10-15 14:30:39",3,4,4,4,3,4
2017-01428,"2024-10-15 14:35:26",4,3,3,3,4,4
136,"2024-10-15 14:40:13",3,4,4,4,3,3
137,"2024-10-15 14:45:00",4,3,3,3,4,4
138,"2024-10-15 14:50:47",3,4,4,4,3,4
139,"2024-10-15 14:55:34",4,3,3,3,4,3
140,"2024-10-15 15:00:21",3,4,4,4,3,4
2017-01429,"2024-10-15 15:05:08",4,3,3,3,4,4
2017-01430,"2024-10-15 15:10:55",3,4,4,4,3,3
